scenario_id,timestamp_min,oxidation_state,oxidation_rate,internal_temperature,heat_generation,heat_loss,deep_core_temperature,middle_core_temperature,near_surface_temperature
S01,0,0.001,0.0,30.495,0.0,0.0225,30.495,30.1865,30.0698
S01,1,0.001,0.0,30.5218,0.0,0.022495,30.5218,30.1481,30.0465
S01,2,0.001,0.0,30.5079,0.0,0.022522,30.5079,30.1602,30.0501
S01,3,0.001,0.0,30.445,0.0,0.022508,30.445,30.2037,30.0711
S01,4,0.001,0.0,30.4281,0.0,0.022445,30.4281,30.2509,30.0867
S01,5,0.001,0.0,30.3649,0.0,0.022428,30.3649,30.2688,30.0739
S01,6,0.001,0.0,30.3887,0.0,0.022365,30.3887,30.2745,30.0772
S01,7,0.001,0.0,30.3345,0.0,0.022389,30.3345,30.3148,30.0824
S01,8,0.001,0.0,30.293,0.0,0.022335,30.293,30.3029,30.1008
S01,9,0.001,0.0,30.2912,0.0,0.022293,30.2912,30.3146,30.1169
S01,10,0.001,0.0,30.3782,0.0,0.022291,30.3782,30.3062,30.1133
S01,11,0.001,0.0,30.3174,0.0,0.022378,30.3174,30.3254,30.1433
S01,12,0.001,0.0,30.2916,0.0,0.022317,30.2916,30.2982,30.1322
S01,13,0.001,0.0,30.3041,0.0,0.022292,30.3041,30.3208,30.1497
S01,14,0.001,0.0,30.2507,0.0,0.022304,30.2507,30.3236,30.1581
S01,15,0.001,0.0,30.2417,0.0,0.022251,30.2417,30.3448,30.1691
S01,16,0.001,0.0,30.2556,0.0,0.022242,30.2556,30.3415,30.1809
S01,17,0.001,0.0,30.2671,0.0,0.022256,30.2671,30.2933,30.1785
S01,18,0.001,0.0,30.2236,0.0,0.022267,30.2236,30.27,30.1762
S01,19,0.001,0.0,30.2783,0.0,0.022224,30.2783,30.2445,30.1979
S01,20,0.001,0.0,30.1741,0.0,0.022278,30.1741,30.2302,30.2023
S01,21,0.001,0.0,30.1835,0.0,0.022174,30.1835,30.2487,30.2198
S01,22,0.001,0.0,30.1461,0.0,0.022183,30.1461,30.2287,30.2373
S01,23,0.001,0.0,30.1166,0.0,0.022146,30.1166,30.1837,30.2127
S01,24,0.001,0.0,30.0507,0.0,0.022117,30.0507,30.1906,30.2148
S01,25,0.001,0.0,30.0654,0.0,0.022051,30.0654,30.1703,30.2164
S01,26,0.001,0.0,30.0768,0.0,0.022065,30.0768,30.1554,30.2234
S01,27,0.001,0.0,30.0238,0.0,0.022077,30.0238,30.1366,30.2128
S01,28,0.001,0.0,29.9442,0.0,0.022024,29.9442,30.1397,30.2008
S01,29,0.001,0.0,29.925,0.0,0.022,29.925,30.1412,30.2077
S01,30,0.001,0.0,29.9385,0.0,0.022,29.9385,30.1261,30.1963
S01,31,0.001,0.0,29.9147,0.0,0.022,29.9147,30.0628,30.1627
S01,32,0.001,0.0,29.8288,0.0,0.022,29.8288,30.0189,30.1657
S01,33,0.001,0.0,29.7637,0.0,0.022,29.7637,29.9922,30.1856
S01,34,0.001,0.0,29.7261,0.0,0.022,29.7261,29.9984,30.1604
S01,35,0.001,0.0,29.696,0.0,0.022,29.696,29.9517,30.1463
S01,36,0.001,0.0,29.7182,0.0,0.022,29.7182,29.8859,30.1459
S01,37,0.001,0.0,29.7103,0.0,0.022,29.7103,29.8575,30.1068
S01,38,0.001,0.0,29.6941,0.0,0.022,29.6941,29.8318,30.1019
S01,39,0.001,0.0,29.6754,0.0,0.022,29.6754,29.8705,30.089
S01,40,0.001,0.0,29.6045,0.0,0.022,29.6045,29.8599,30.0854
S01,41,0.001,0.0,29.6526,0.0,0.022,29.6526,29.8725,30.0851
S01,42,0.001,0.0,29.706,0.0,0.022,29.706,29.8269,30.0632
S01,43,0.001,0.0,29.6398,0.0,0.022,29.6398,29.804,30.0266
S01,44,0.001,0.0,29.6518,0.0,0.022,29.6518,29.7882,29.9889
S01,45,0.001,0.0,29.5812,0.0,0.022,29.5812,29.7852,29.9985
S01,46,0.001,0.0,29.6613,0.0,0.022,29.6613,29.8651,30.0021
S01,47,0.001,0.0,29.592,0.0,0.022,29.592,29.7848,29.9999
S01,48,0.001,0.0,29.5315,0.0,0.022,29.5315,29.7571,29.9791
S01,49,0.001,0.0,29.5047,0.0,0.022,29.5047,29.774,29.9751
S01,50,0.001,0.0,29.477,0.0,0.022,29.477,29.7251,29.9328
S01,51,0.001,0.0,29.4329,0.0,0.022,29.4329,29.7059,29.9603
S01,52,0.001,0.0,29.4196,0.0,0.022,29.4196,29.7182,29.9418
S01,53,0.001,0.0,29.3405,0.0,0.022,29.3405,29.6666,29.9177
S01,54,0.001,0.0,29.4271,0.0,0.022,29.4271,29.6276,29.9243
S01,55,0.001,0.0,29.3622,0.0,0.022,29.3622,29.6396,29.922
S01,56,0.001,0.0,29.3346,0.0,0.022,29.3346,29.6201,29.8984
S01,57,0.001,0.0,29.3371,0.0,0.022,29.3371,29.5895,29.863
S01,58,0.001,0.0,29.2534,0.0,0.022,29.2534,29.5745,29.8845
S01,59,0.001,0.0,29.2416,0.0,0.022,29.2416,29.5509,29.8786
S01,60,0.001,0.0,29.2871,0.0,0.022,29.2871,29.5417,29.8585
S01,61,0.001,0.0,29.3226,0.0,0.022,29.3226,29.5414,29.8782
S01,62,0.001,0.0,29.3119,0.0,0.022,29.3119,29.4909,29.8372
S01,63,0.001,0.0,29.3747,0.0,0.022,29.3747,29.5356,29.8231
S01,64,0.001,0.0,29.3357,0.0,0.022,29.3357,29.5675,29.792
S01,65,0.001,0.0,29.2712,0.0,0.022,29.2712,29.569,29.7763
S01,66,0.001,0.0,29.2511,0.0,0.022,29.2511,29.545,29.775
S01,67,0.001,0.0,29.3017,0.0,0.022,29.3017,29.5332,29.7794
S01,68,0.001,0.0,29.1794,0.0,0.022,29.1794,29.5105,29.7531
S01,69,0.001,0.0,29.0987,0.0,0.022,29.0987,29.4594,29.7362
S01,70,0.001,0.0,29.1247,0.0,0.022,29.1247,29.3995,29.725
S01,71,0.001,0.0,29.0807,0.0,0.022,29.0807,29.3706,29.7326
S01,72,0.001,0.0,29.0878,0.0,0.022,29.0878,29.3937,29.7177
S01,73,0.001,0.0,29.0332,0.0,0.022,29.0332,29.3654,29.7102
S01,74,0.001,0.0,29.0222,0.0,0.022,29.0222,29.3123,29.6981
S01,75,0.001,0.0,29.0138,0.0,0.022,29.0138,29.3699,29.7241
S01,76,0.001,0.0,28.9513,0.0,0.022,28.9513,29.3361,29.6813
S01,77,0.001,0.0,28.902,0.0,0.022,28.902,29.3196,29.6927
S01,78,0.001,0.0,28.8457,0.0,0.022,28.8457,29.2715,29.6351
S01,79,0.001,0.0,28.8178,0.0,0.022,28.8178,29.2124,29.6097
S01,80,0.001,0.0,28.7542,0.0,0.022,28.7542,29.1821,29.5596
S01,81,0.001,0.0,28.661,0.0,0.022,28.661,29.2147,29.5217
S01,82,0.001,0.0,28.5864,0.0,0.022,28.5864,29.2321,29.5697
S01,83,0.001,0.0,28.508,0.0,0.022,28.508,29.1776,29.5628
S01,84,0.001,0.0,28.5746,0.0,0.022,28.5746,29.1118,29.5421
S01,85,0.001,0.0,28.5937,0.0,0.022,28.5937,29.0938,29.5189
S01,86,0.001,0.0,28.5672,0.0,0.022,28.5672,29.0209,29.4967
S01,87,0.001,0.0,28.5341,0.0,0.022,28.5341,28.9987,29.4682
S01,88,0.001,0.0,28.5379,0.0,0.022,28.5379,29.0014,29.4549
S01,89,0.001,0.0,28.5357,0.0,0.022,28.5357,28.9751,29.4382
S01,90,0.001,0.0,28.4798,0.0,0.022,28.4798,28.9549,29.4193
S01,91,0.001,0.0,28.5646,0.0,0.022,28.5646,28.9786,29.4116
S01,92,0.001,0.0,28.5067,0.0,0.022,28.5067,28.917,29.4181
S01,93,0.001,0.0,28.5,0.0,0.022,28.5,28.9063,29.3653
S01,94,0.001,0.0,28.5266,0.0,0.022,28.5266,28.8972,29.3267
S01,95,0.001,0.0,28.4832,0.0,0.022,28.4832,28.8803,29.3121
S01,96,0.001,0.0,28.4488,0.0,0.022,28.4488,28.8513,29.291
S01,97,0.001,0.0,28.4366,0.0,0.022,28.4366,28.8705,29.2249
S01,98,0.001,0.0,28.405,0.0,0.022,28.405,28.8479,29.2176
S01,99,0.001,0.0,28.3666,0.0,0.022,28.3666,28.7663,29.2084
S01,100,0.001,0.0,28.4332,0.0,0.022,28.4332,28.7003,29.2079
S01,101,0.001,0.0,28.3969,0.0,0.022,28.3969,28.6803,29.1684
S01,102,0.001,0.0,28.3604,0.0,0.022,28.3604,28.7001,29.1636
S01,103,0.001,0.0,28.4272,0.0,0.022,28.4272,28.719,29.1569
S01,104,0.001,0.0,28.4946,0.0,0.022,28.4946,28.7187,29.1581
S01,105,0.001,0.0,28.46,0.0,0.022,28.46,28.7052,29.1283
S01,106,0.001,0.0,28.4897,0.0,0.022,28.4897,28.6569,29.1274
S01,107,0.001,0.0,28.4604,0.0,0.022,28.4604,28.6803,29.1268
S01,108,0.001,0.0,28.5316,0.0,0.022,28.5316,28.6933,29.0802
S01,109,0.001,0.0,28.5084,0.0,0.022,28.5084,28.647,29.0547
S01,110,0.001,0.0,28.5642,0.0,0.022,28.5642,28.6612,29.0269
S01,111,0.001,0.0,28.4937,0.0,0.022,28.4937,28.6521,29.0
S01,112,0.001,0.0,28.4404,0.0,0.022,28.4404,28.6488,29.0108
S01,113,0.001,0.0,28.451,0.0,0.022,28.451,28.5682,29.0014
S01,114,0.001,0.0,28.4348,0.0,0.022,28.4348,28.5726,29.0187
S01,115,0.001,0.0,28.3118,0.0,0.022,28.3118,28.5392,29.0138
S01,116,0.001,0.0,28.213,0.0,0.022,28.213,28.5639,29.0054
S01,117,0.001,0.0,28.2355,0.0,0.022,28.2355,28.5271,29.0049
S01,118,0.001,0.0,28.2691,0.0,0.022,28.2691,28.5186,29.0
S01,119,0.001,0.0,28.2628,0.0,0.022,28.2628,28.5,29.0
S01,120,0.001,0.0,28.2354,0.0,0.022,28.2354,28.5,29.0025
S02,0,0.002005,0.001005,30.553,0.064853,0.0195,30.553,30.2415,30.045
S02,1,0.003016,0.001011,30.5491,0.065689,0.019553,30.5491,30.2002,30.0699
S02,2,0.004026,0.00101,30.5914,0.06556,0.019549,30.5914,30.2299,30.0598
S02,3,0.00504,0.001014,30.6946,0.066216,0.019591,30.6946,30.2861,30.0653
S02,4,0.006065,0.001025,30.7103,0.067931,0.019695,30.7103,30.3008,30.0575
S02,5,0.007091,0.001026,30.7552,0.068137,0.01971,30.7552,30.3096,30.0781
S02,6,0.008122,0.001031,30.7814,0.068855,0.019755,30.7814,30.3273,30.1175
S02,7,0.009155,0.001033,30.7896,0.069247,0.019781,30.7896,30.308,30.1315
