scenario_id,timestamp_min,ambient_temperature,humidity,wind_speed,coal_moisture,CO,CO2,O2,surface_temperature_mean,surface_temperature_max,hotspot_area,hotspot_x,hotspot_y,heating_rate,risk_score,risk_class,mitigation_status
S01,0,30.04,54.92,2.4,12.0,0.0,399.44,20.95,,,0,,,0.0,0.15,NORMAL,0
S01,1,29.85,54.66,2.53,12.0,3.67,398.59,20.88,29.95,29.98,0,,,0.0137,0.77,NORMAL,0
S01,2,30.04,55.38,2.54,12.0,3.66,398.35,20.81,30.27,30.3,0,,,0.321,7.17,NORMAL,0
S01,3,30.09,55.37,2.48,12.0,3.22,393.7,20.96,30.18,30.22,0,,,-0.0958,2.33,NORMAL,0
S01,4,30.13,55.19,2.6,12.0,0.09,410.56,20.91,30.02,30.07,0,,,-0.1592,3.7,NORMAL,0
S01,5,30.18,55.06,2.53,12.0,2.51,399.67,20.92,30.14,30.18,0,,,0.1188,2.58,NORMAL,0
S01,6,29.11,54.23,2.38,12.0,3.32,401.25,20.98,29.96,30.01,0,,,-0.1742,4.72,NORMAL,0
S01,7,29.91,55.64,2.46,12.0,2.05,400.56,20.97,30.04,30.09,0,,,0.0775,1.91,NORMAL,0
S01,8,29.74,55.29,2.43,12.0,3.3,404.39,20.87,30.12,30.18,0,,,0.0828,2.58,NORMAL,0
S01,9,30.09,54.93,2.66,12.0,0.9,403.79,20.76,30.16,30.22,0,,,0.0342,1.35,NORMAL,0
S01,10,29.99,55.13,2.55,12.0,0.83,401.35,20.85,30.51,30.57,0,,,0.3486,7.88,NORMAL,0
S01,11,30.13,54.89,2.73,12.0,0.64,395.33,20.97,31.17,31.25,0,,,0.6627,11.31,NORMAL,0
S01,12,29.57,54.55,2.56,12.0,1.53,402.28,20.74,31.04,31.12,0,,,-0.1254,4.58,NORMAL,0
S01,13,30.05,54.88,2.45,12.0,1.13,400.75,20.9,30.94,31.02,0,,,-0.1068,3.34,NORMAL,0
S01,14,30.34,55.22,2.46,12.0,2.41,395.64,20.99,30.9,30.99,0,,,-0.0339,1.56,NORMAL,0
S01,15,29.77,55.06,2.42,12.0,0.06,399.86,20.91,31.01,31.11,0,,,0.1069,3.67,NORMAL,0
S01,16,29.82,55.02,2.55,12.0,0.0,395.87,20.86,31.03,31.14,0,,,0.0188,1.97,NORMAL,0
S01,17,29.71,54.58,2.51,12.0,3.83,398.04,20.91,30.78,30.88,0,,,-0.2522,6.62,NORMAL,0
S01,18,29.92,55.2,2.49,12.0,2.0,407.37,20.92,30.67,30.78,0,,,-0.1051,3.42,NORMAL,0
S01,19,30.03,55.54,2.6,12.0,1.68,398.44,20.71,30.55,30.67,0,,,-0.119,3.58,NORMAL,0
S01,20,30.17,54.26,2.47,12.0,0.0,403.22,21.0,30.7,30.83,0,,,0.1514,4.01,NORMAL,0
S01,21,29.66,54.54,2.52,12.0,1.78,395.96,20.98,30.84,30.97,0,,,0.1334,4.22,NORMAL,0
S01,22,29.86,54.37,2.48,12.0,3.34,405.13,20.82,30.89,31.04,0,,,0.0498,2.84,NORMAL,0
S01,23,29.96,54.49,2.4,12.0,4.03,406.66,20.98,30.7,30.84,0,,,-0.1881,5.29,NORMAL,0
S01,24,30.33,55.98,2.47,12.0,2.41,395.53,20.87,30.64,30.78,0,,,-0.0601,1.96,NORMAL,0
S01,25,30.18,55.35,2.4,12.0,1.64,395.57,20.9,30.65,30.79,0,,,0.0087,1.02,NORMAL,0
S01,26,30.02,55.31,2.63,12.0,0.68,397.28,20.89,30.61,30.76,0,,,-0.0378,1.76,NORMAL,0
S01,27,30.09,55.18,2.53,12.0,1.94,397.07,20.96,30.91,31.06,0,,,0.3051,7.31,NORMAL,0
S01,28,29.64,54.67,2.51,12.0,1.46,405.65,20.93,30.56,30.7,0,,,-0.3531,8.54,NORMAL,0
S01,29,30.43,55.01,2.46,12.0,1.16,394.59,20.89,30.88,31.03,0,,,0.3145,7.13,NORMAL,0
S01,30,30.42,53.98,2.52,12.0,4.23,399.74,20.83,30.67,30.82,0,,,-0.2017,5.01,NORMAL,0
S01,31,29.74,55.71,2.45,12.0,0.49,406.67,20.79,30.76,30.89,0,,,0.0835,3.46,NORMAL,0
S01,32,29.77,55.01,2.46,12.0,3.36,401.12,20.87,30.49,30.63,0,,,-0.2677,6.65,NORMAL,0
S01,33,29.74,55.45,2.66,12.0,2.12,396.63,20.96,30.59,30.74,0,,,0.0993,3.22,NORMAL,0
S01,34,29.89,54.9,2.58,12.0,2.92,393.13,20.86,30.53,30.67,0,,,-0.0554,2.26,NORMAL,0
S01,35,29.88,54.95,2.37,12.0,1.61,400.96,20.87,30.5,30.64,0,,,-0.0303,1.66,NORMAL,0
S01,36,30.2,54.35,2.57,12.0,1.49,397.96,20.84,30.75,30.89,0,,,0.2508,6.04,NORMAL,0
S01,37,29.81,54.49,2.61,12.0,1.86,399.11,21.0,30.86,30.98,0,,,0.1048,3.5,NORMAL,0
S01,38,30.12,55.13,2.5,12.0,0.0,406.36,20.87,30.8,30.92,0,,,-0.0588,2.47,NORMAL,0
S01,39,30.2,55.31,2.51,12.0,0.0,394.95,20.8,31.0,31.12,0,,,0.2025,5.38,NORMAL,0
S01,40,30.23,55.08,2.51,12.0,4.44,405.37,20.89,30.65,30.77,0,,,-0.3572,8.35,NORMAL,0
S01,41,29.87,54.76,2.53,12.0,1.44,400.1,20.98,30.7,30.83,0,,,0.0567,2.35,NORMAL,0
S01,42,30.22,54.63,2.33,12.0,2.8,407.44,20.97,30.49,30.61,0,,,-0.208,5.15,NORMAL,0
S01,43,30.31,54.57,2.58,12.0,2.32,400.64,20.88,30.53,30.63,0,,,0.0384,1.44,NORMAL,0
S01,44,29.99,55.06,2.46,12.0,1.88,397.27,20.82,30.53,30.61,0,,,-0.0029,1.09,NORMAL,0
S01,45,30.19,54.31,2.44,12.0,0.0,403.31,20.95,30.69,30.78,0,,,0.1613,4.19,NORMAL,0
S01,46,29.87,54.91,2.51,12.0,4.97,402.63,20.88,30.53,30.63,0,,,-0.1567,4.59,NORMAL,0
S01,47,30.09,55.23,2.53,12.0,2.37,403.65,20.84,30.41,30.51,0,,,-0.1292,3.54,NORMAL,0
S01,48,29.99,54.96,2.62,12.0,1.25,405.66,20.85,30.48,30.57,0,,,0.0731,2.59,NORMAL,0
S01,49,30.15,56.13,2.35,12.0,1.15,398.79,20.78,30.52,30.62,0,,,0.0414,1.77,NORMAL,0
S01,50,30.51,54.8,2.45,12.0,3.6,405.51,20.84,30.51,30.59,0,,,-0.0127,1.05,NORMAL,0
S01,51,29.84,55.03,2.47,12.0,2.36,408.2,20.88,30.08,30.18,0,,,-0.4243,9.45,NORMAL,0
S01,52,29.69,54.87,2.56,12.0,1.37,403.8,20.79,30.08,30.18,0,,,-0.0011,1.1,NORMAL,0
S01,53,29.27,54.62,2.45,12.0,1.94,404.54,20.93,,,0,,,0.0907,3.22,NORMAL,0
S01,54,29.54,55.23,2.49,12.0,2.67,404.99,20.85,29.88,29.97,0,,,-0.2951,6.94,NORMAL,0
S01,55,29.88,54.88,2.68,12.0,2.26,399.01,20.93,29.81,29.91,0,,,-0.069,1.71,NORMAL,0
S01,56,30.08,54.52,2.5,12.0,3.95,403.05,20.99,30.04,30.13,0,,,0.2291,5.21,NORMAL,0
S01,57,30.13,54.43,2.42,12.0,1.55,399.07,20.81,29.93,30.0,0,,,-0.1091,2.63,NORMAL,0
S01,58,29.73,54.12,2.49,12.0,0.0,405.94,20.92,29.97,30.06,0,,,0.0397,1.61,NORMAL,0
S01,59,30.69,56.11,2.54,12.0,3.43,399.58,20.89,29.95,30.05,0,,,-0.0161,0.77,NORMAL,0
S01,60,29.78,54.67,2.54,12.0,1.24,408.28,20.84,29.86,29.95,0,,,-0.0883,2.62,NORMAL,0
S01,61,30.57,54.66,2.47,12.0,3.42,401.42,20.9,29.62,29.72,0,,,-0.2477,5.46,NORMAL,0
S01,62,30.26,55.73,2.54,12.0,1.62,402.8,20.83,29.52,29.61,0,,,-0.0937,2.41,NORMAL,0
S01,63,29.44,55.21,2.46,12.0,0.72,404.84,20.92,28.92,29.01,0,,,-0.6009,10.51,NORMAL,0
S01,64,30.1,54.96,2.48,12.0,0.95,394.83,20.93,29.23,29.31,0,,,0.3135,6.62,NORMAL,0
S01,65,30.11,54.59,2.57,12.0,3.46,392.5,20.87,,,0,,,0.1085,2.7,NORMAL,0
S01,66,30.83,55.01,2.51,12.0,0.17,400.49,20.89,29.16,29.24,0,,,-0.1791,3.96,NORMAL,0
S01,67,30.26,54.82,2.38,12.0,2.88,406.56,20.85,29.26,29.35,0,,,0.1003,2.76,NORMAL,0
S01,68,29.56,54.52,2.54,12.0,1.74,406.6,20.99,29.13,29.2,0,,,-0.1368,3.29,NORMAL,0
S01,69,29.82,54.95,2.53,12.0,0.65,403.06,20.83,29.21,29.28,0,,,0.0814,2.19,NORMAL,0
S01,70,30.38,54.82,2.67,12.0,2.51,395.36,21.0,29.05,29.12,0,,,-0.164,3.67,NORMAL,0
S01,71,29.68,54.97,2.6,12.0,2.17,399.05,20.84,29.12,29.2,0,,,0.0706,1.88,NORMAL,0
S01,72,30.2,54.49,2.47,12.0,2.36,405.66,20.91,29.32,29.4,0,,,0.2074,4.72,NORMAL,0
S01,73,30.06,54.82,2.59,12.0,2.69,394.76,20.96,29.52,29.6,0,,,0.1928,4.28,NORMAL,0
S01,74,29.89,55.41,2.51,12.0,2.44,402.6,20.99,29.67,29.75,0,,,0.1501,3.49,NORMAL,0
S01,75,30.44,55.04,2.47,12.0,0.56,393.71,21.0,29.6,29.7,0,,,-0.068,1.72,NORMAL,0
S01,76,30.1,55.72,2.44,12.0,2.4,405.03,20.83,29.72,29.81,0,,,0.1246,3.19,NORMAL,0
S01,77,29.68,55.87,2.48,12.0,2.9,395.22,20.81,29.59,29.69,0,,,-0.1356,3.34,NORMAL,0
S01,78,30.03,54.14,2.51,12.0,0.78,392.03,20.95,29.74,29.81,0,,,0.153,3.44,NORMAL,0
S01,79,29.77,55.02,2.53,12.0,3.33,389.0,20.98,29.66,29.72,0,,,-0.0838,2.19,NORMAL,0
S01,80,30.19,54.61,2.42,12.0,2.47,397.48,20.87,29.59,29.63,0,,,-0.0669,1.82,NORMAL,0
S01,81,30.22,54.81,2.52,12.0,4.22,401.45,20.88,29.76,29.79,0,,,0.1755,4.2,NORMAL,0
S01,82,30.31,55.29,2.54,12.0,1.21,406.74,20.95,30.08,30.14,0,,,0.3182,6.98,NORMAL,0
S01,83,29.96,54.33,2.52,12.0,1.06,403.77,20.95,30.09,30.16,0,,,0.0093,0.91,NORMAL,0
S01,84,29.99,54.75,2.44,12.0,1.84,394.03,20.82,30.46,30.52,0,,,0.3694,8.45,NORMAL,0
S01,85,30.0,54.89,2.47,12.0,1.37,408.12,20.93,30.47,30.52,0,,,0.0035,1.26,NORMAL,0
S01,86,30.15,54.86,2.53,12.0,2.96,402.0,20.9,30.44,30.49,0,,,-0.0266,1.44,NORMAL,0
S01,87,29.95,54.47,2.57,12.0,2.25,403.75,20.89,30.13,30.16,0,,,-0.3127,7.04,NORMAL,0
S01,88,29.98,54.55,2.52,12.0,4.93,395.18,20.92,30.0,30.03,0,,,-0.1286,3.34,NORMAL,0
S01,89,29.99,55.35,2.49,12.0,0.04,401.59,20.89,30.27,30.3,0,,,0.2709,6.23,NORMAL,0
S01,90,29.78,54.64,2.62,12.0,0.51,399.1,20.92,30.06,30.09,0,,,-0.2071,4.88,NORMAL,0
S01,91,29.8,54.95,2.4,12.0,4.32,398.67,20.89,29.72,29.76,0,,,-0.3364,7.4,NORMAL,0
S01,92,30.13,54.7,2.43,12.0,3.11,399.13,20.96,29.91,29.95,0,,,0.185,4.25,NORMAL,0
S01,93,29.7,55.3,2.45,12.0,1.93,399.32,21.0,29.91,29.93,0,,,0.0026,0.73,NORMAL,0
S01,94,29.75,55.37,2.5,12.0,0.44,403.88,20.93,29.86,29.87,0,,,-0.0523,1.74,NORMAL,0
S01,95,29.98,54.23,2.46,12.0,1.36,392.15,20.84,29.66,29.66,0,,,-0.2002,4.55,NORMAL,0
S01,96,30.54,54.68,2.49,12.0,2.23,397.68,20.85,30.22,30.22,0,,,0.5648,10.57,NORMAL,0
S01,97,30.61,55.29,2.58,12.0,1.0,399.83,20.98,29.97,29.97,0,,,-0.2528,5.52,NORMAL,0
S01,98,29.71,54.71,2.42,12.0,2.42,404.99,20.97,,,0,,,-0.0895,2.64,NORMAL,0
S01,99,30.27,54.91,2.57,12.0,2.44,403.02,20.89,30.01,30.01,0,,,0.1245,3.13,NORMAL,0
